"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"","","","Dynamic shear deformation of a CrCoNi medium-entropy alloy with heterogeneous grain structures","2021","Heterostructured Materials","","","","613","640","27","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141881730&partnerID=40&md5=77500afe9239beea25c4c0820c88239b","Article","Final","","Scopus","2-s2.0-85141881730"
"","","","","2020","2D Nanoscale Heterostructured Materials","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198614143&partnerID=40&md5=c03fce652bb12491d83e719b71d70fdd","Article","Final","","Scopus","2-s2.0-85198614143"
"","","","CdS/TiO 2  nano hybrid heterostructured materials for superior hydrogen production and gas sensor applications","2023","J. Environ. Manag.","340","","","15","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182164680&partnerID=40&md5=1aeea5f49e0abc972ac1aff8a2654d8f","Article","Final","","Scopus","2-s2.0-85182164680"
"","","","Recent progress in heterostructured materials for room-temperature sodium-sulfur batteries","2024","Interdiscipl. Mater.","3","","","565","594","29","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204763871&partnerID=40&md5=5bbd050ce90d12fd4291241387ae37ed","Article","Final","","Scopus","2-s2.0-85204763871"
"","","","Eds. Heterostructured materials - novel materials with unprecedented mechanical properties, 1st ed","2021","Jenny Stanford Publishing","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212861915&partnerID=40&md5=38c060e888d394e6690a146e754db37e","Article","Final","","Scopus","2-s2.0-85212861915"
"","","","Mechanical properties and deformation mechanism of Mg–Al–Zn alloy with gradient microstructure in grain size and orientation","2021","Heterostructured Materials","","","","417","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202796376&partnerID=40&md5=5f4ece0b8f34053cfffc2375c6c53e08","Article","Final","","Scopus","2-s2.0-85202796376"
"","","","ZnO/sepiolite heterostructured materials for photocatalytic degradation of emerging pollutants","0000","","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023619016&partnerID=40&md5=5123be5bbe211142c68e3fddd13dc5d6","Article","Final","","Scopus","2-s2.0-85023619016"
"","","","Heterostructured Materials: A New Paradigm for Superior Mechanical Properties","2019","Programme and the Book of Abstracts, Twenty-First Annual Conference Yucomat 2019 & Eleventh World Round Table Conferences on Sintering Wrtcs 2019","","","","20","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096301522&partnerID=40&md5=5f121cbd1d1965bd650c74fd08017c2d","Article","Final","","Scopus","2-s2.0-85096301522"
"","","","","2019","Density functional theory investigation of emerging two-dimensional heterostructured materials","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138401879&partnerID=40&md5=74b7c475308f769390757e46175ac6b6","Article","Final","","Scopus","2-s2.0-85138401879"
"","","","Perspective and Overview, Heterostructured Materials: Novel Materials with Unprecedented Mechanical Properties","2021","","","","","3","52","49","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209127192&partnerID=40&md5=e9b0e57667eebcc829327a3e7b453c75","Article","Final","","Scopus","2-s2.0-85209127192"
"","","","Heterostructured Lamella structure Unites ultrafine-grain strength with coarse-grain ductility","2021","Heterostructured Materials: Novel Materials with Unprecedented Mechanical Properties","","","","73","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185829719&partnerID=40&md5=e284588b57043999683ebed7fb62d4f4","Article","Final","","Scopus","2-s2.0-85185829719"
"","","","","2022","Heterostructured Materials: Novel Materials with Unprecedented Mechanical Properties","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137874285&partnerID=40&md5=49d419b6165005f9de1de6a5f79e0767","Article","Final","","Scopus","2-s2.0-85137874285"
"","","","","2020","2D Nanoscale Heterostructured Materials","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134219899&partnerID=40&md5=a86d83716e15828cd4956d20319bf606","Article","Final","","Scopus","2-s2.0-85134219899"
"","","","Chapter Four - Fundamentals of heterostructured materials","2023","Introduction to Heterostructured Materials","","","","51","106","55","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173612994&partnerID=40&md5=58da09ad7d0d9d613958cfb11e1afd7e","Article","Final","","Scopus","2-s2.0-85173612994"
"","","","","2022","Heterostructured Materials. Progress in Materials Science","","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189653094&partnerID=40&md5=0ea8d93433c51773aa534e3b0a373971","Article","Final","","Scopus","2-s2.0-85189653094"
"","","","Catalytic heterostructured materials: Open scopes from renewable energy to climate neutral society for CO2 mitigation and conversion into fuels","2023","Sustain Energy Fuels","","","","","","","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182835559&partnerID=40&md5=3ed3d6c68a4e97a40a4f8d253a39000b","Article","Final","","Scopus","2-s2.0-85182835559"
"","","","Inorganic heterostructured materials based on clay minerals","2014","Clays and Materials, CMS Workshop Lectures Series","18","","","21","40","19","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984976176&partnerID=40&md5=148bbb0002c4197fdbd46aab9ba439f2","Article","Final","","Scopus","2-s2.0-84984976176"
"","","","Heterostructure induced dispersive shear bands in heterostructured cu. Heterostructured Materials","2021","","","","","239","250","11","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196816786&partnerID=40&md5=ab726d392b9f0a0e18aa5809590b8f30","Article","Final","","Scopus","2-s2.0-85196816786"
